priority,family,dataset_name,title_en,issued,metadata_modified,formats,resource_count,first_resource_url,catalog_url
P3,other,kennzahlen-alternativ-angetriebene-lnf-durchschnittlicher-treibstoffverbrauch,,,2026-05-10T03:58:57.621311,CSV,1,https://www.bfe-ogd.ch/ogd95_data_t3_lnf.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-lnf-durchschnittlicher-treibstoffverbrauch
P3,other,kennzahlen-alternativ-angetriebene-lnf-durchschnittliches-leergewicht,,,2026-05-10T03:59:20.020578,CSV,1,https://www.bfe-ogd.ch/ogd95_data_t5_lnf.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-lnf-durchschnittliches-leergewicht
P3,other,kennzahlen-alternativ-angetriebene-pw,,,2026-05-10T03:58:55.670625,CSV,1,https://www.bfe-ogd.ch/ogd92_data-cantons.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw
P3,other,kennzahlen-alternativ-angetriebene-pw-anteil-allradfahrzeuge,,,2026-05-10T03:59:04.207015,CSV,1,https://www.bfe-ogd.ch/ogd21_data_t2.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw-anteil-allradfahrzeuge
P3,other,kennzahlen-alternativ-angetriebene-pw-anteil-elektrofahrzeuge,,,2026-05-10T03:59:10.010695,CSV,1,https://www.bfe-ogd.ch/ogd21_data_t6.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw-anteil-elektrofahrzeuge
P3,other,kennzahlen-alternativ-angetriebene-pw-anzahl-neuer-personenwagen,,,2026-05-10T04:00:10.606659,CSV,1,https://www.bfe-ogd.ch/ogd21_data_t1.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw-anzahl-neuer-personenwagen
P3,other,kennzahlen-alternativ-angetriebene-pw-durchschnittliche-co2-emissionen,,,2026-05-10T03:59:08.019085,CSV,1,https://www.bfe-ogd.ch/ogd21_data_t4.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw-durchschnittliche-co2-emissionen
P3,other,kennzahlen-alternativ-angetriebene-pw-durchschnittliche-fahrzeugpreise,,,2026-05-10T03:59:58.126667,CSV,1,https://www.bfe-ogd.ch/ogd21_data_t7.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw-durchschnittliche-fahrzeugpreise
P3,other,kennzahlen-alternativ-angetriebene-pw-durchschnittlicher-treibstoffverbrauch,,,2026-05-10T03:59:30.943035,CSV,1,https://www.bfe-ogd.ch/ogd21_data_t3.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw-durchschnittlicher-treibstoffverbrauch
P3,other,kennzahlen-alternativ-angetriebene-pw-durchschnittliches-leergewicht,,,2026-05-10T03:59:14.248445,CSV,1,https://www.bfe-ogd.ch/ogd21_data_t5.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-pw-durchschnittliches-leergewicht
P3,other,kontrollen-energieetiketten-und-mindestanforderungen-bei-elektrogeraten-in-der-schweiz,,2017-12-12T00:00:00,2025-03-18T10:49:15.481879,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=393,https://opendata.swiss/en/dataset/kontrollen-energieetiketten-und-mindestanforderungen-bei-elektrogeraten-in-der-schweiz
P3,other,lage-und-angrenzende-bereiche-gemass-storfallverordnung-im-bereich-rohrleitungsanlagen,Location and adjoining areas of pipeline systems according to the Ordnance on Protection against Major Accidents,2018-09-25T00:00:00,2026-05-11T08:51:47.041458,"HTML,OCTET,XML",4,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://opendata.swiss/en/dataset/lage-und-angrenzende-bereiche-gemass-storfallverordnung-im-bereich-rohrleitungsanlagen
P3,other,licht-markt-schweiz,,2017-12-12T00:00:00,2025-12-11T04:00:52.217445,"CSV,SERVICE",3,https://pubdb.bfe.admin.ch/de/suche?keywords=394,https://opendata.swiss/en/dataset/licht-markt-schweiz
P3,other,monatliche-heizgradtage-in-der-schweiz-gewichtet,,2022-11-30T00:00:00,2026-02-06T10:48:24.279723,CSV,1,https://www.uvek-gis.admin.ch/BFE/ogd/105/ogd105_heizgradtage.csv,https://opendata.swiss/en/dataset/monatliche-heizgradtage-in-der-schweiz-gewichtet
P3,other,projektierungszonen-starkstromanlagen-v2-0-oereb,Projektierungszonen Starkstromanlagen V2.0 OeREB,2021-10-14T00:00:00,2026-05-11T08:50:38.016614,"OCTET,XML",2,https://data.geo.admin.ch/ch.bfe.projektierungszonen-starkstromanlagen_v2_0.oereb/data.zip,https://opendata.swiss/en/dataset/projektierungszonen-starkstromanlagen-v2-0-oereb
P3,other,publikationen-des-bundesamtes-fur-energie-und-des-programms-energieschweiz,,2022-10-31T00:00:00,2025-12-11T04:00:32.464821,CSV,1,https://www.uvek-gis.admin.ch/BFE/ogd/98/ogd98_publikationen.csv,https://opendata.swiss/en/dataset/publikationen-des-bundesamtes-fur-energie-und-des-programms-energieschweiz
P3,other,schweizer-kernmaterialbestande-im-ausland,,2017-12-12T00:00:00,2025-12-11T04:00:40.986936,"CSV,JSON,SERVICE",3,https://pubdb.bfe.admin.ch/de/suche?keywords=398,https://opendata.swiss/en/dataset/schweizer-kernmaterialbestande-im-ausland
P3,other,stand-der-energiepolitik-in-den-kantonen,,2017-12-12T00:00:00,2025-12-11T04:00:52.758177,"CSV,JSON,SERVICE",3,https://pubdb.bfe.admin.ch/de/suche?keywords=405,https://opendata.swiss/en/dataset/stand-der-energiepolitik-in-den-kantonen
P3,other,standorte-und-verfugbarkeit-von-shared-mobility-angeboten,Locations and availability of shared mobility services in real time,2020-12-09T00:00:00,2026-05-11T08:49:51.567057,"HTML,OCTET,XML",4,https://sharedmobility.ch/gbfs.json,https://opendata.swiss/en/dataset/standorte-und-verfugbarkeit-von-shared-mobility-angeboten
P3,other,verkaufszahlenbasierte-energieeffizienzanalyse-von-elektrogeraten,,2017-12-12T00:00:00,2025-03-18T10:49:19.361894,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=410,https://opendata.swiss/en/dataset/verkaufszahlenbasierte-energieeffizienzanalyse-von-elektrogeraten
P3,other,vollzugsresultate-der-co2-emissionsvorschriften-fur-lieferwagen-und-leichte-sattelschlepper,,,2026-06-03T05:21:15.981289,CSV,1,https://www.bfe-ogd.ch/ogd61_vollzugsresultate_lnf.csv,https://opendata.swiss/en/dataset/vollzugsresultate-der-co2-emissionsvorschriften-fur-lieferwagen-und-leichte-sattelschlepper
P3,other,vollzugsresultate-der-co2-emissionsvorschriften-fur-personenwagen,,,2026-06-09T05:24:11.601061,CSV,1,https://www.bfe-ogd.ch/ogd47_vollzugsresultate_pw.csv,https://opendata.swiss/en/dataset/vollzugsresultate-der-co2-emissionsvorschriften-fur-personenwagen
P3,other,windatlas-schweiz-haufigkeit-meteorologischer-vereisung-in-100-m-hohe-uber-grund,Wind Atlas of Switzerland: Frequency of meteorological icing at 100 metres above the ground,2010-05-31T00:00:00,2026-05-11T08:52:04.309972,"HTML,OCTET,XML",5,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://opendata.swiss/en/dataset/windatlas-schweiz-haufigkeit-meteorologischer-vereisung-in-100-m-hohe-uber-grund
P3,other,windatlas-schweiz-jahresmittel-der-modellierten-windgeschwindigkeit-und-windrichtung-in-100-m-h,Wind Atlas of Switzerland: Annual average of the modelled wind speed and direction at a height of 100 metres above the ground,2016-02-25T00:00:00,2026-05-11T08:52:25.358476,"HTML,OCTET,XML",6,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://opendata.swiss/en/dataset/windatlas-schweiz-jahresmittel-der-modellierten-windgeschwindigkeit-und-windrichtung-in-100-m-h
P3,other,windatlas-schweiz-jahresmittel-der-modellierten-windgeschwindigkeit-und-windrichtung-in-125-m-h,Wind Atlas of Switzerland: Annual average of the modelled wind speed and direction at a height of 125 metres above the ground,2016-02-25T00:00:00,2026-05-11T08:50:23.615964,"HTML,OCTET,XML",6,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://opendata.swiss/en/dataset/windatlas-schweiz-jahresmittel-der-modellierten-windgeschwindigkeit-und-windrichtung-in-125-m-h
