date,hour,price_lear,price_p10,price_p90,n_windows,mlp_used,fm_used,fm_raw_price,timestamp,days_ahead
2026-03-29,22,135.92145304065605,122.36391301811969,158.55588623380797,5,True,True,136.78298950195312,2026-03-29 20:00:00+00:00,2
2026-03-29,23,132.17450557835127,111.41539532557985,140.9118415948424,5,True,True,137.381591796875,2026-03-29 21:00:00+00:00,2
2026-03-30,0,133.83106241527412,127.09419082035662,141.91460759672646,5,True,True,135.341552734375,2026-03-29 22:00:00+00:00,3
2026-03-30,1,136.51869706977448,145.55232582607815,154.77627590805488,5,True,True,133.88681030273438,2026-03-29 23:00:00+00:00,3
2026-03-30,2,135.65583354810005,125.40272856284015,130.95213531749158,5,True,True,133.21673583984375,2026-03-30 00:00:00+00:00,3
2026-03-30,3,135.38651530168096,115.09665585264467,135.3172716444039,5,True,True,132.7379150390625,2026-03-30 01:00:00+00:00,3
2026-03-30,4,133.29692796777073,126.72914823175635,141.61923681298887,5,True,True,134.72914123535156,2026-03-30 02:00:00+00:00,3
2026-03-30,5,138.71565291715524,139.22739836051124,172.57558330999728,5,True,True,133.91357421875,2026-03-30 03:00:00+00:00,3
2026-03-30,6,150.72534561581438,166.68337940007444,253.11732033455775,5,True,True,131.35621643066406,2026-03-30 04:00:00+00:00,3
2026-03-30,7,154.5357373301105,142.031338934158,170.9969835943735,5,True,True,123.57991790771484,2026-03-30 05:00:00+00:00,3
2026-03-30,8,142.60049482931996,147.67118125383325,192.52458381360162,5,True,True,109.21420288085938,2026-03-30 06:00:00+00:00,3
2026-03-30,9,136.960076217667,132.4026143018665,171.73412877302616,5,True,True,89.01141357421875,2026-03-30 07:00:00+00:00,3
2026-03-30,10,118.22189520397092,111.9217061135584,156.87401052817313,5,True,True,59.1114616394043,2026-03-30 08:00:00+00:00,3
2026-03-30,11,105.92634318702663,123.95654967529941,162.49008544617732,5,True,True,40.24210739135742,2026-03-30 09:00:00+00:00,3
2026-03-30,12,96.00506024188873,62.961739658929645,148.4740152891586,5,True,True,36.42121887207031,2026-03-30 10:00:00+00:00,3
2026-03-30,13,105.01848750909426,94.27643113357844,139.91491422875154,5,True,True,55.94978332519531,2026-03-30 11:00:00+00:00,3
2026-03-30,14,111.19498715643992,88.00602869700728,164.15447971724933,5,True,True,88.1758041381836,2026-03-30 12:00:00+00:00,3
2026-03-30,15,136.97294063363842,117.72365691231913,153.47210647594164,5,True,True,119.46398162841797,2026-03-30 13:00:00+00:00,3
2026-03-30,16,152.2721336310716,136.74276262520252,166.89429578769355,5,True,True,137.36195373535156,2026-03-30 14:00:00+00:00,3
2026-03-30,17,169.12912960863417,145.562663540566,216.62510415386612,5,True,True,146.95872497558594,2026-03-30 15:00:00+00:00,3
2026-03-30,18,167.1524665033872,161.58007051179047,206.04970113528205,5,True,True,148.4508819580078,2026-03-30 16:00:00+00:00,3
2026-03-30,19,167.34705403943119,160.46056133498823,236.24542967860955,5,True,True,143.69522094726562,2026-03-30 17:00:00+00:00,3
2026-03-30,20,145.74885673743668,138.6280396124827,168.9244898068175,5,True,True,139.8080596923828,2026-03-30 18:00:00+00:00,3
2026-03-30,21,138.82703017867,130.34078770510416,159.6425207667765,5,True,True,135.75872802734375,2026-03-30 19:00:00+00:00,3
2026-03-30,22,137.70180258880615,137.38508929208868,184.75557500506565,5,True,True,132.80328369140625,2026-03-30 20:00:00+00:00,3
2026-03-30,23,135.07036426199136,126.78687474730135,166.67993034796015,5,True,True,131.5816192626953,2026-03-30 21:00:00+00:00,3
2026-03-31,0,139.8380185322332,125.1353164647716,163.42593629772264,5,True,True,130.23065185546875,2026-03-30 22:00:00+00:00,4
2026-03-31,1,142.86900036267005,151.26706614467017,192.77052991439913,5,True,True,129.04156494140625,2026-03-30 23:00:00+00:00,4
2026-03-31,2,139.67669060526973,114.91628277413118,149.96460100305677,5,True,True,130.17523193359375,2026-03-31 00:00:00+00:00,4
2026-03-31,3,141.12756584816097,125.94877195746186,154.5914552375652,5,True,True,132.71034240722656,2026-03-31 01:00:00+00:00,4
2026-03-31,4,139.14504332982935,117.10598201453621,167.82328210843156,5,True,True,138.73399353027344,2026-03-31 02:00:00+00:00,4
2026-03-31,5,147.54070073227743,142.01946541746088,188.76982834410126,5,True,True,145.93527221679688,2026-03-31 03:00:00+00:00,4
2026-03-31,6,156.45079408174607,153.58857119666536,218.4325678997317,5,True,True,149.94070434570312,2026-03-31 04:00:00+00:00,4
2026-03-31,7,168.25586327908923,145.57719980691806,185.87268805477677,5,True,True,144.9927978515625,2026-03-31 05:00:00+00:00,4
2026-03-31,8,160.46380243355608,157.8926174206411,214.00453352932732,5,True,True,138.957763671875,2026-03-31 06:00:00+00:00,4
2026-03-31,9,146.98555304432642,127.93005747250184,155.1549060651167,5,True,True,132.03787231445312,2026-03-31 07:00:00+00:00,4
2026-03-31,10,140.74963971525213,109.4533806610299,151.59233952082502,5,True,True,124.68867492675781,2026-03-31 08:00:00+00:00,4
2026-03-31,11,125.29377767064747,108.36314559133172,149.0113908646079,5,True,True,116.40108489990234,2026-03-31 09:00:00+00:00,4
2026-03-31,12,118.61881887508261,75.81884827147462,132.68882355664903,5,True,True,119.04103088378906,2026-03-31 10:00:00+00:00,4
2026-03-31,13,120.0842271725792,95.3599325405675,134.40064234823984,5,True,True,124.51318359375,2026-03-31 11:00:00+00:00,4
2026-03-31,14,122.92933093284181,71.68934947463913,142.96339799698978,5,True,True,130.9067840576172,2026-03-31 12:00:00+00:00,4
2026-03-31,15,139.4544037555785,108.32534973369594,148.22559890243463,5,True,True,138.57843017578125,2026-03-31 13:00:00+00:00,4
2026-03-31,16,155.14407989099303,131.97735032294608,163.62558073998147,5,True,True,147.41949462890625,2026-03-31 14:00:00+00:00,4
2026-03-31,17,169.5442862663259,145.55580643773558,226.99115789600464,5,True,True,155.79653930664062,2026-03-31 15:00:00+00:00,4
2026-03-31,18,170.6298758096104,156.51821323478475,206.27287277272376,5,True,True,156.71463012695312,2026-03-31 16:00:00+00:00,4
2026-03-31,19,170.41781163365343,165.2518070538873,271.7704128855519,5,True,True,149.50982666015625,2026-03-31 17:00:00+00:00,4
2026-03-31,20,146.4923693191932,139.49676204876238,175.04126197325235,5,True,True,143.71881103515625,2026-03-31 18:00:00+00:00,4
2026-03-31,21,142.60511075456185,127.59493064537537,161.85898062417385,5,True,True,139.8151092529297,2026-03-31 19:00:00+00:00,4
2026-03-31,22,140.14687220615644,131.3093931255346,178.76340906434143,5,True,True,135.68423461914062,2026-03-31 20:00:00+00:00,4
2026-03-31,23,137.22557849473333,122.91899349560335,153.90329501341557,5,True,True,134.35955810546875,2026-03-31 21:00:00+00:00,4
2026-04-01,0,137.888474110311,129.76225048350108,156.36017796292816,5,True,True,131.41610717773438,2026-03-31 22:00:00+00:00,5
2026-04-01,1,139.80879348419438,141.47170669811393,171.30851246924064,5,True,True,130.18084716796875,2026-03-31 23:00:00+00:00,5
2026-04-01,2,139.2804917815207,124.88383576448379,138.74723701225096,5,True,True,129.9447479248047,2026-04-01 00:00:00+00:00,5
2026-04-01,3,137.93408120814019,125.41684308375943,145.7168088746397,5,True,True,131.441162109375,2026-04-01 01:00:00+00:00,5
2026-04-01,4,137.81303409404785,124.69068989737715,154.42781332342636,5,True,True,137.19383239746094,2026-04-01 02:00:00+00:00,5
2026-04-01,5,147.0539059545011,144.44002361000364,180.87836966456612,5,True,True,146.12240600585938,2026-04-01 03:00:00+00:00,5
2026-04-01,6,162.10901503737733,160.92649351027842,231.3461415916899,5,True,True,151.094970703125,2026-04-01 04:00:00+00:00,5
2026-04-01,7,178.60848546833432,144.99197302234697,199.31470079265287,5,True,True,146.27828979492188,2026-04-01 05:00:00+00:00,5
2026-04-01,8,164.5663533490801,155.96903785722944,201.18733700391292,5,True,True,139.90957641601562,2026-04-01 06:00:00+00:00,5
2026-04-01,9,149.16997989321152,129.88125383353454,159.01503759554802,5,True,True,132.14012145996094,2026-04-01 07:00:00+00:00,5
2026-04-01,10,145.5010305916967,114.65175137995277,151.17167507696206,5,True,True,124.1529541015625,2026-04-01 08:00:00+00:00,5
2026-04-01,11,131.03749950032645,111.03282612605065,151.70913057192806,5,True,True,115.63603210449219,2026-04-01 09:00:00+00:00,5
2026-04-01,12,121.13087210723992,83.92990332723136,134.42023452040394,5,True,True,117.31704711914062,2026-04-01 10:00:00+00:00,5
2026-04-01,13,123.15220421220774,106.0769916598362,137.15662638229247,5,True,True,123.16718292236328,2026-04-01 11:00:00+00:00,5
2026-04-01,14,121.10408226937639,79.25192569145938,150.15925622461336,5,True,True,129.8740234375,2026-04-01 12:00:00+00:00,5
2026-04-01,15,142.56712549829913,110.36648630490065,153.24064720333598,5,True,True,137.03260803222656,2026-04-01 13:00:00+00:00,5
2026-04-01,16,155.4139367242915,131.28668941373738,165.15738253801968,5,True,True,146.08889770507812,2026-04-01 14:00:00+00:00,5
2026-04-01,17,171.88851607790428,143.13757248908973,209.93073572955848,5,True,True,155.70535278320312,2026-04-01 15:00:00+00:00,5
2026-04-01,18,176.1641665852853,159.3825042716643,205.8369991624375,5,True,True,156.6381072998047,2026-04-01 16:00:00+00:00,5
2026-04-01,19,181.10842924402363,169.34577088672916,319.45161489522445,5,True,True,148.7147674560547,2026-04-01 17:00:00+00:00,5
2026-04-01,20,149.30579862307454,142.66709105439784,186.30843562051845,5,True,True,142.65432739257812,2026-04-01 18:00:00+00:00,5
2026-04-01,21,142.995893776181,131.7942669455863,163.53929465925353,5,True,True,137.4058380126953,2026-04-01 19:00:00+00:00,5
2026-04-01,22,139.48791971290674,138.00859327770974,184.94695428125732,5,True,True,133.355224609375,2026-04-01 20:00:00+00:00,5
2026-04-01,23,139.95684013133967,132.11399750881233,164.002074658718,5,True,True,131.49514770507812,2026-04-01 21:00:00+00:00,5
2026-04-02,0,132.05696189584438,118.77956576174182,139.16948912076214,5,True,True,129.4947967529297,2026-04-01 22:00:00+00:00,6
